date,snapshot_type,security,jq_quantity,local_quantity,quantity_difference,alignment_status
2026-05-06,END_OF_DAY,300405.XSHE,2800,2800,0,MATCH
2026-05-06,END_OF_DAY,300417.XSHE,1400,1400,0,MATCH
2026-05-06,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-06,END_OF_DAY,300665.XSHE,2300,2300,0,MATCH
2026-05-06,END_OF_DAY,300929.XSHE,1300,1300,0,MATCH
2026-05-06,END_OF_DAY,301098.XSHE,2000,2000,0,MATCH
2026-05-06,END_OF_DAY,301167.XSHE,1100,1100,0,MATCH
2026-05-06,END_OF_DAY,600455.XSHG,700,700,0,MATCH
2026-05-06,END_OF_DAY,600561.XSHG,2800,2800,0,MATCH
2026-05-06,END_OF_DAY,600697.XSHG,1500,1500,0,MATCH
2026-05-07,END_OF_DAY,300405.XSHE,2800,2800,0,MATCH
2026-05-07,END_OF_DAY,300417.XSHE,1400,1400,0,MATCH
2026-05-07,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-07,END_OF_DAY,300665.XSHE,2300,2300,0,MATCH
2026-05-07,END_OF_DAY,300929.XSHE,1300,1300,0,MATCH
2026-05-07,END_OF_DAY,301098.XSHE,2000,2000,0,MATCH
2026-05-07,END_OF_DAY,301167.XSHE,1100,1100,0,MATCH
2026-05-07,END_OF_DAY,600455.XSHG,700,700,0,MATCH
2026-05-07,END_OF_DAY,600561.XSHG,2800,2800,0,MATCH
2026-05-07,END_OF_DAY,600697.XSHG,1500,1500,0,MATCH
2026-05-08,END_OF_DAY,300405.XSHE,2800,2800,0,MATCH
2026-05-08,END_OF_DAY,300417.XSHE,1400,1400,0,MATCH
2026-05-08,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-08,END_OF_DAY,300665.XSHE,2300,2300,0,MATCH
2026-05-08,END_OF_DAY,300929.XSHE,1300,1300,0,MATCH
2026-05-08,END_OF_DAY,301098.XSHE,2000,2000,0,MATCH
2026-05-08,END_OF_DAY,301167.XSHE,1100,1100,0,MATCH
2026-05-08,END_OF_DAY,600455.XSHG,700,700,0,MATCH
2026-05-08,END_OF_DAY,600561.XSHG,2800,2800,0,MATCH
2026-05-08,END_OF_DAY,600697.XSHG,1500,1500,0,MATCH
2026-05-11,END_OF_DAY,300405.XSHE,5600,5600,0,MATCH
2026-05-11,END_OF_DAY,300417.XSHE,2600,2600,0,MATCH
2026-05-11,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-11,END_OF_DAY,300665.XSHE,4400,4400,0,MATCH
2026-05-11,END_OF_DAY,300929.XSHE,2700,2700,0,MATCH
2026-05-11,END_OF_DAY,301098.XSHE,4100,4100,0,MATCH
2026-05-11,END_OF_DAY,301167.XSHE,2200,2200,0,MATCH
2026-05-11,END_OF_DAY,600455.XSHG,1300,1300,0,MATCH
